kaj,Jju,Latn,Kaje,0,0
kam,Kamba,Latn,Kikamba,0,0
kcg,Tyap,Latn,Katab,0,0
kde,Makonde,Latn,Chimakonde,0,0
kea,Kabuverdianu,Latn,kabuverdianu,0,0
kg,Kongo,Latn,Kikongo,0,0
khq,KoyraChiini,Latn,Koyraciini,0,0
ki,Kikuyu,Latn,Gikuyu,0,0
kj,Kuanyama,Latn,Kwanyama,0,0
kk,Kazakh,Cyrl,қазақтілі,0,0
kl,Kalaallisut,Latn,kalaallisut,0,0
kln,Kalenjin,Latn,Kalenjin,0,0
km,Khmer,Khmr,ភាសាខ្មែរ,0,0
kn,Kannada,Knda,ಕನ್ನಡ,0,0
ko,Korean,Hang,한국어,0,0
kok,Konkani,Deva,कोंकणी,0,0
kr,Kanuri,Latn,Kanuri,0,0
ks,Kashmiri(Arabic),Arab,کأشُر,0,0
ks-Deva,Kashmiri(Devaganari),Deva,कॉशुर,0,0
ksb,Shambala,Latn,Kishambaa,0,0
ksf,Bafia,Latn,rikpa,0,0
ksh,Kölsch,Latn,Kölsch,0,0
ku,Kurdish,Arab,کوردی,0,0
kv,Komi,Cyrl,комикыв,0,0
kw,Cornish,Latn,kernewek,0,0
ky,Kyrgyz,Cyrl,Кыргыз,0,0
la,Latin,Latn,latine,0,0
lag,Langi,Latn,Kɨlaangi,0,0
lah,Lahnda,Latn,Lahnda,0,0
lb,Luxembourgish,Latn,Lëtzebuergesch,0,0
lg,Ganda,Latn,Luganda,0,0
li,Limburgish,Latn,Limburgs,0,0
ln,Lingala,Latn,lingála,0,0
lo,Lao,Laoo,ລາວ,0,0
lt,Lithuanian,Latn,lietuvių,0,0
lu,Luba-Katanga,Latn,Tshiluba,0,0
luo,Luo,Latn,Dholuo,0,0
luy,Oluluyia,Latn,Luluhia,0,0
lv,Latvian,Latn,latviešu,0,0
mai,Maithili,Tirh,मैथिली,0,0
mas,Masai,Latn,ɔl-Maa,0,0
mer,Kimîîru,Latn,Kĩmĩrũ,0,0
mfe,Morisyen,Latn,kreolmorisien,0,0
mg,Malagasy,Latn,Malagasy,0,0
mgh,Makhuwa-Meetto,Latn,Makua,0,0
mh,Marshallese,Latn,KajinM̧ajeļ,0,0
mi,Māori,Latn,Māori,0,0
mk,Macedonian,Cyrl,македонски,0,0
ml,Malayalam,Mlym,മലയാളം,0,0
mn,Mongolian(Cyrillic),Cyrl,монгол,0,0
mn-Mong,Mongolian(Mongolian),Mong,ᠮᠣᠨᠭᠭᠣᠯᠬᠡᠯᠡ,0,0
mni,Manipuri,Beng,মৈতৈ,0,0
mr,Marathi,Deva,मराठी,0,0
ms,Malay,Latn,BahasaMelayu,0,0
mt,Maltese,Latn,Malti,0,0
mtr,Mewari,Latn,Mewari,0,0
mua,Mundang,Latn,Mundang,0,0
my,Burmese,Mymr,မြန်မာဘာသာ,0,0
na,Nauru,Latn,EkakairũNaoero,0,0
naq,Nama,Latn,Khoekhoegowab,0,0
nb,NorwegianBokmål,Latn,Bokmål,0,0
nd,NorthNdebele,Latn,isiNdebele,0,0
nds,LowGerman,Latn,Plattdüütsch,0,0
ne,Nepali,Deva,नेपाली,0,0
